test_id,stage,scenario,measurement,unit,min_value,max_value,measured_value,status,evidence_file,reason
SW-01,software,第19章全回归,失败顶层步骤,count,0,0,0.0,PASS,waveforms/19-full-regression.csv,第19章顶层步骤失败数
FW-01,target_firmware,目标HAL构建烧录与复位启动,烧录或启动失败数,count,0,0,,BLOCKED,,本项缺少设备：Cortex-M4F开发板、调试接口/探针
PRE-01,pre_power,输入对地静态检查,输入端对地电阻,ohm,1000,,,BLOCKED,,本项缺少设备：24V/12V/5A功率级、万用表
SUP-01,low_voltage_rails,只给控制板供电,3.3V电源轨,V,3.20,3.40,,BLOCKED,,本项缺少设备：Cortex-M4F开发板、万用表
PWM-01,pwm_no_power,功率级不加输入电压,PWM频率,kHz,198,202,,BLOCKED,,本项缺少设备：Cortex-M4F开发板、调试接口/探针、示波器
PWM-02,pwm_no_power,互补PWM低压检查,上下管死区,ns,80,120,,BLOCKED,,本项缺少设备：Cortex-M4F开发板、调试接口/探针、示波器、差分探头
START-01,current_limited_startup,24V限流空载启动,Vout峰值,V,0,13.2,,BLOCKED,,本项缺少设备：Cortex-M4F开发板、调试接口/探针、24V/12V/5A功率级、限流台式电源、示波器
STEADY-01,steady_load,24V输入1A负载,Vout平均值,V,11.88,12.12,,BLOCKED,,本项缺少设备：Cortex-M4F开发板、24V/12V/5A功率级、限流台式电源、电子负载、万用表
STEADY-03,steady_load,24V输入3A负载,Vout平均值,V,11.88,12.12,,BLOCKED,,本项缺少设备：Cortex-M4F开发板、24V/12V/5A功率级、限流台式电源、电子负载、万用表
STEADY-05,steady_load,24V输入5A负载,Vout平均值,V,11.88,12.12,,BLOCKED,,本项缺少设备：Cortex-M4F开发板、24V/12V/5A功率级、限流台式电源、电子负载、万用表
RIPPLE-01,steady_load,24V输入5A负载,Vout纹波峰峰值,mVpp,0,100,,BLOCKED,,本项缺少设备：Cortex-M4F开发板、24V/12V/5A功率级、限流台式电源、电子负载、示波器
LOAD-01,load_transient,2.5A与5A往返,Vout最大偏差,V,0,1.2,,BLOCKED,,本项缺少设备：Cortex-M4F开发板、24V/12V/5A功率级、限流台式电源、电子负载、示波器
LOAD-02,load_transient,2.5A与5A往返,回到1%范围时间,ms,0,12,,BLOCKED,,本项缺少设备：Cortex-M4F开发板、24V/12V/5A功率级、限流台式电源、电子负载、示波器
LINE-01,line_transient,20V与28V输入切换,Vout最大偏差,V,0,0.24,,BLOCKED,,本项缺少设备：Cortex-M4F开发板、24V/12V/5A功率级、限流台式电源、电子负载、示波器
UVLO-01,protection,输入降到17V,有效PWM关断延迟,us,0,5,,BLOCKED,,本项缺少设备：Cortex-M4F开发板、24V/12V/5A功率级、限流台式电源、电子负载、示波器
OCP-01,protection,电子负载电流斜坡,OCP触发电流,A,6.5,7.0,,BLOCKED,,本项缺少设备：Cortex-M4F开发板、24V/12V/5A功率级、限流台式电源、电子负载、示波器
OCP-02,protection,OCP触发,有效PWM关断延迟,us,0,5,,BLOCKED,,本项缺少设备：Cortex-M4F开发板、24V/12V/5A功率级、限流台式电源、电子负载、示波器
ISR-01,timing,最坏输入与保护路径,控制ISR最坏执行时间,us,0,3.5,,BLOCKED,,本项缺少设备：Cortex-M4F开发板、调试接口/探针
THERMAL-01,thermal,24V输入5A运行10分钟,最高器件温度,degC,-40,90,,BLOCKED,,本项缺少设备：Cortex-M4F开发板、24V/12V/5A功率级、限流台式电源、电子负载、测温设备
